Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
16,658	219,119		
16,67	216,526		
16,681	192,447		
16,692	178,185		
16,703	185,223		
16,714	192,262		
16,725	199,671		
16,736	207,265		
16,747	216,341		
16,759	212,081		
16,769	216,156		
16,78	222,639		
16,791	212,081		
16,803	201,523		
16,814	198,745		
16,826	211,155		
16,839	211,155		
16,851	195,225		
16,863	201,523		
16,873	212,451		
16,884	220,231		
16,895	219,675		
16,907	215,785		
16,918	210,784		
16,929	219,119		
16,939	233,567		
16,951	242,272		
16,962	250,052		
16,973	259,128		
16,984	254,312		
16,995	241,346		
17,006	229,307		
17,017	233,196		
17,029	248,014		
17,041	256,72		
17,052	266,351		
17,062	265,055		
17,073	256,349		
17,087	247,273		
17,099	242,643		
17,111	241,531		
17,122	246,162		
17,134	253,015		
17,147	264,314		
17,159	264,314		
17,17	264,129		
17,181	265,425		
17,193	265,981		
17,204	267,092		
17,215	268,574		
17,226	259,868		
17,237	247,088		
17,248	240,42		
17,259	250,052		
17,27	264,499		
17,281	272,093		
17,292	268,389		
17,303	235,975		
17,314	216,156		
17,326	200,412		
17,337	195,966		
17,348	199,856		
17,358	196,337		
17,372	188,187		
17,384	181,519		
17,396	177,814		
17,41	185,223		
17,422	187,076		
17,435	179,852		
17,447	179,111		
17,459	186,52		
17,47	186,52		
17,482	186,52		
17,495	186,52		
17,508	199,486		
17,52	196,707		
17,532	206,339		
17,543	213,748		
17,555	212,266		
17,569	205,783		
17,581	182,63		
17,593	180,037		
17,605	178,37		
17,618	186,15		
17,631	198,93		
17,644	202,82		
17,655	212,081		
17,667	215,6		
17,678	166,331		
17,692	-25,19		
17,705	-25,931		
17,718	-28,71		
17,73	-19,078		
17,742	-15,188		
17,754	-19,078		
17,765	-32,414		
17,776	-42,787		
17,79	-46,306		
17,8	-42,787		
17,812	-38,526		
17,823	-33,34		
17,834	-31,858		
17,846	-26,672		
17,859	-19,819		
17,872	-10,928		
17,884	-7,965		
17,895	-9,632		
17,907	-20,189		
17,919	-23,338		
17,932	-21,486		
17,945	-21,671		
17,957	-15,374		
17,968	-10,002		
17,98	-14,262		
17,991	-22,227		
18,003	-17,781		
18,017	-18,708		
18,031	-10,928		
18,046	-19,263		
18,057	-31,673		
18,07	-22,042		
18,082	-17,041		
18,097	-18,337		
18,11	-8,335		
18,123	-17,967		
18,136	-21,301		
18,149	-21,301		
18,163	-11,669		
18,174	-17,411		
18,188	-17,781		
18,202	-17,781		
18,214	-23,338		
18,226	-23,338		
18,239	-21,301		
18,252	-16,485		
18,265	-20,189		
18,277	-9,261		
18,29	-9,632		
18,304	-15,744		
18,318	-1,111		
