Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
38,804	62,42		
38,815	49,64		
38,826	47,417		
38,837	38,341		
38,847	32,229		
38,859	37,045		
38,87	55,011		
38,881	65,754		
38,892	65,754		
38,903	52,789		
38,913	49,269		
38,925	46,862		
38,937	49,269		
38,95	47,232		
38,962	42,787		
38,975	51,122		
38,988	33,525		
39,001	36,119		
39,014	56,678		
39,025	58,345		
39,035	66,125		
39,046	57,79		
39,057	36,674		
39,07	30,562		
39,081	32,97		
39,093	35,748		
39,106	46,491		
39,118	61,124		
39,131	60,012		
39,144	56,678		
39,157	55,937		
39,17	57,234		
39,182	48,714		
39,194	35,933		
39,205	30,562		
39,218	52,789		
39,228	52,789		
39,239	48,158		
39,251	43,342		
39,262	46,862		
39,274	50,01		
39,287	36,489		
39,298	27,228		
39,309	36,674		
39,323	46,121		
39,337	62,05		
39,349	47,788		
39,361	52,233		
39,376	64,087		
39,389	66,866		
39,401	64,643		
39,413	59,457		
39,426	45,009		
39,439	53,9		
39,452	50,936		
39,464	34,822		
39,478	47,232		
39,492	58,716		
39,505	51,492		
39,517	38,712		
39,529	57,419		
39,542	63,532		
39,555	67,977		
39,568	61,309		
39,581	58,531		
39,593	62,05		
39,606	64,828		
39,62	68,718		
39,633	66,31		
39,645	65,013		
39,658	63,161		
39,672	51,307		
39,684	48,714		
39,697	48,899		
39,71	62,42		
39,722	71,126		
39,736	58,901		
39,747	39,453		
39,758	35,563		
39,769	46,121		
39,781	60,753		
39,792	60,939		
39,804	54,456		
39,816	57,419		
39,829	60,198		
39,843	52,233		
39,856	54,641		
39,868	51,677		
39,882	47,232		
39,895	45,565		
39,908	35,378		
39,92	39,082		
39,934	56,493		
39,945	41,12		
39,956	45,565		
39,97	35,748		
39,983	34,266		
39,995	50,01		
40,008	60,383		
40,02	61,124		
40,031	63,346		
40,041	69,829		
40,052	67,792		
40,063	63,346		
40,077	59,827		
40,09	57,79		
40,103	54,27		
40,115	55,382		
40,129	51,492		
40,141	34,081		
40,154	32,599		
40,166	35,563		
40,178	52,789		
40,191	62,791		
40,203	62,235		
40,215	67,421		
40,23	67,421		
40,242	55,197		
40,258	52,418		
40,272	40,934		
40,285	23,523		
40,298	32,599		
40,31	51,677		
40,324	53,53		
40,337	52,233		
40,349	45,565		
40,361	42,601		
40,373	44,268		
40,385	40,379		
40,398	45,565		
40,409	44,639		
40,42	35,933		
40,431	30,377		
40,444	37,045		
40,455	46,862		
40,468	40,749		
40,48	42,231		
40,493	40,564		
40,506	40,379		
40,519	32,044		
40,532	21,115		
40,544	21,486		
40,554	21,486		
40,566	25,746		
40,579	35,933		
40,594	51,307		
40,609	53,9		
40,622	45,195		
40,636	52,603		
40,648	53,715		
40,664	55,011		
40,676	55,937		
40,69	50,01		
40,703	38,897		
40,715	47,232		
40,729	56,678		
40,742	57,049		
40,753	56,678		
40,764	36,674		
40,776	35,192		
40,786	38,341		
40,8	45,195		
40,812	54,641		
40,825	48,343		
40,839	43,898		
40,85	32,229		
40,862	19,634		
40,873	18,522		
40,884	30,191		
40,895	30,191		
40,907	44,639		
40,917	62,606		
40,928	63,346		
40,94	60,012		
40,95	54,456		
40,962	45,38		
40,973	39,823		
40,984	43,528		
40,996	32,044		
41,011	22,597		
41,025	21,115		
41,038	34,637		
41,05	61,679		
41,062	62,606		
41,074	51,307		
41,086	37,971		
41,096	39,267		
